names,prices,ratings,totalratings,restypes,areas,offers
Grill Box,4.020+ ratingsClosedFor Delivery₹ 500Cost for two,4.020+ ratingsClosedFor Delivery₹ 500Cost for two,20+ ratings,"Opens next at 12:30 pm, WednesdaySteakhouse, Continental","Road No. 45, Jubilee Hills",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Noodle Crush,4.2100+ ratings-- MINSDelivery Time₹ 350Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 350Cost for two,100+ ratings,Chinese,"Jubilee Hills, Jubilee Hills",
THEORY DESSERT BAR & CAFE,4.320+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.320+ ratings-- MINSDelivery Time₹ 1000Cost for two,20+ ratings,"Indian, Desserts","Jubilee Hills, Jubilee Hills",
Little Pepper,3.950+ ratings-- MINSDelivery Time₹ 300Cost for two,3.950+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,Chinese,"CBI Colony, Jubilee Hills",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Tigerlily Bistro,4.4100+ ratings-- MINSDelivery Time₹ 1200Cost for two,4.4100+ ratings-- MINSDelivery Time₹ 1200Cost for two,100+ ratings,"Mexican, Italian, Asian","Jubilee Hills, Jubilee Hills",
Cravery,4.4100+ ratings-- MINSDelivery Time₹ 700Cost for two,4.4100+ ratings-- MINSDelivery Time₹ 700Cost for two,100+ ratings,"Continental, Desserts","Jubilee Hills, Jubilee Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
Tiki Shack- Rooftop Bar,--Too Few Ratings-- MINSDelivery Time₹ 1000Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 1000Cost for two,Too Few Ratings,"Italian, Chinese, Continental, Indian","Road No 36, Jubilee Hills",
La Pino'z Pizza,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,Pizzas,"Jubilee Hills, Jubilee Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
CHOPSTICK CHAN,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,Chinese,"Madhapur, Jubilee Hills",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO
Nuage Popcorn,4.120+ ratings-- MINSDelivery Time₹ 250Cost for two,4.120+ ratings-- MINSDelivery Time₹ 250Cost for two,20+ ratings,Desserts,"Road No: 37, Jubilee Hills, Jubilee Hills",
Dumont,4.5100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Beverages, Ice Cream, Desserts","Kukatpally, Kukatpally",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Lassi Shop,4.120+ ratings-- MINSDelivery Time₹ 100Cost for two,4.120+ ratings-- MINSDelivery Time₹ 100Cost for two,20+ ratings,"Beverages, Ice Cream, Chaat","Kukatpally, Kukatpally",
Anupama A/c Restaurant,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,Too Few Ratings,"Opens next at 12:20 pm, tomorrowNorth Indian, Chinese, Tandoor","Usha Mullapudi Kamman Road, Kukatpally",
Mahishmathi Kitchen,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowIndian, Chinese","Kukatpally, Kukatpally",
Dill Aye Bahar,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,North Indian,"KPHB 4th phase, Kukatpally",
The malabar spicy,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowIndian, Chinese, Biryani","Kukatpally, Kukatpally",
Telugu Ruchulu,3.320+ ratingsClosedFor Delivery₹ 300Cost for two,3.320+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Opens next at 11:30 am, tomorrowNorth Indian, South Indian, Chinese","NIZAMPET, HYDERABAD, Kukatpally",Offer40% off up to ₹80 | Use code SWIGGYIT
Chai Kings,4.4100+ ratings-- MINSDelivery Time₹ 100Cost for two,4.4100+ ratings-- MINSDelivery Time₹ 100Cost for two,100+ ratings,"Bakery, Beverages, Cafe, Combo, Desserts, Snacks","Kukatpally, Kukatpally",Offer30% off up to ₹75 | Use code SWIGGYIT
Millet Express,4.31000+ ratings-- MINSDelivery Time₹ 150Cost for two,4.31000+ ratings-- MINSDelivery Time₹ 150Cost for two,1000+ ratings,"South Indian, Healthy Food","Kukatpally, Kukatpally",Offer40% off up to ₹120| Use code HHTRUST15% off up to ₹45 | Use code SWIGGYIT
Dabbawala Biryani,3.950+ ratingsClosedFor Delivery₹ 300Cost for two,3.950+ ratingsClosedFor Delivery₹ 300Cost for two,50+ ratings,"Opens next at 12 noon, tomorrowBiryani, Punjabi","Kukatpally, Kukatpally",Offer15% off up to ₹300 on orders above ₹800 | Use code PARTY15% off up to ₹45 | Use code SWIGGYIT
Barcenos Pizza,3.020+ ratings-- MINSDelivery Time₹ 300Cost for two,3.020+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Pizzas, Beverages","Phase -3, Kukatpally",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Tipsy Topsy Bakers,3.6100+ ratings-- MINSDelivery Time₹ 150Cost for two,3.6100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,"Bakery, Italian","Vivekananda Nagar, Kukatpally",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Baskin Robbins,3.9100+ ratings-- MINSDelivery Time₹ 300Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Ice Cream, Desserts","6th Phase Kphb, Kukatpally",Offer15% off up to ₹100 on orders above ₹500 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Bajjis,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian, Biryani, Chinese","Venkata Ramana Colony, Kukatpally",
Subway,4.0500+ ratings-- MINSDelivery Time₹ 350Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 350Cost for two,500+ ratings,"Fast Food, Salads, Snacks, Desserts, Beverages","Bhagya nagar Colony, Kukatpally",
Foodie (quality of food),--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowIndian, Chinese","Kukatpally, Kukatpally",
Seven Days Cafe,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,Too Few Ratings,"Desserts, Snacks, Chinese","JNTU road, Kukatpally",
MilkShake Garrage,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowFast Food","Kukatpally, Kukatpally",
24/7 kitchen,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Indian, Biryani, Chinese","KUKATPALLY, Kukatpally",Offer50% off up to ₹100 | Use code SWIGGYIT
SRI TIRUMALA BAKERY,--Too Few Ratings-- MINSDelivery Time₹ 100Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 100Cost for two,Too Few Ratings,Bakery,"Kukatpally, Kukatpally",
M/S Abhilasha Hotel,2.520+ ratingsClosedFor Delivery₹ 350Cost for two,2.520+ ratingsClosedFor Delivery₹ 350Cost for two,20+ ratings,"Opens next at 11:30 am, tomorrowNorth Indian, South Indian, Biryani, Chinese","Kukatapally, Kukatpally",Offer40% off up to ₹80 | Use code SWIGGYIT
PASTAS & SALADS,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Beverages, Desserts, Continental","Kukatpally, Kukatpally",Offer50% off up to ₹100 | Use code SWIGGYIT
Grameen Kulfi,4.650+ ratings-- MINSDelivery Time₹ 120Cost for two,4.650+ ratings-- MINSDelivery Time₹ 120Cost for two,50+ ratings,"Ice Cream, Desserts","Kukatpally, Kukatpally",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
Secret Recipe,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,Too Few Ratings,"Biryani, North Indian, South Indian","KPHB 4th phase, Kukatpally",
Sandwich corner,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowContinental","Kukatpally, Kukatpally",
BONES,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowIndian","Kukatpally, Kukatpally",
THE SPICY CHINESE KITCHEN,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowChinese, North Indian","Kukatpally, Kukatpally",
Fishland Express,3.150+ ratings-- MINSDelivery Time₹ 300Cost for two,3.150+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,"Indian, Chinese, Tandoor","KPHB Main Road, Kukatpally",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Sha Sha - Shandaar Shawarma,4.250+ ratingsClosedFor Delivery₹ 150Cost for two,4.250+ ratingsClosedFor Delivery₹ 150Cost for two,50+ ratings,"Opens next at 1 pm, tomorrowLebanese, Arabian","6th Phase, Kukatpally",
Wrap the Wraps,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,Continental,"Kukatpally, Kukatpally",Offer20% off on orders above ₹399
MR.COFFEE BEAN,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,Restaurant ClosedIndian,"Kukatpally, Kukatpally",
Pange's Pizza,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Pizzas, Juices","Kukatpally, Kukatpally",Offer20% off on orders above ₹399
Al Aqsa Mataam Mandi,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowArabian","Banjara Hills, Banjara Hills",
Bombay Kulfi,4.550+ ratings-- MINSDelivery Time₹ 150Cost for two,4.550+ ratings-- MINSDelivery Time₹ 150Cost for two,50+ ratings,"Ice Cream, Desserts, Beverages","Banjara Hills, Banjara Hills",
Flying Spaghetti Monster,4.3100+ ratings-- MINSDelivery Time₹ 1500Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 1500Cost for two,100+ ratings,"Italian, Pizzas","Green Valley, Banjara Hills",Offer10% off up to ₹300 on orders above ₹1000 | Use code PARTY
SouthIndian Crave Hub,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian","Banjara Hills, Banjara Hills",
Makers of Milkshakes,4.450+ ratings-- MINSDelivery Time₹ 250Cost for two,4.450+ ratings-- MINSDelivery Time₹ 250Cost for two,50+ ratings,"Beverages, Desserts","Income Tax Tower Lane, Banjara Hills",Offer15% off up to ₹300 on orders above ₹800 | Use code PARTY15% off up to ₹45 | Use code SWIGGYIT
INOX,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,Fast Food,"HYDERABAD GVK ONE, Banjara Hills",
Al-Tazaj Fried Chicken,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Italian, Beverages, Fast Food","Mangwada Basti, Banjara Hills",
Akson Restaurant,4.21000+ ratings-- MINSDelivery Time₹ 250Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 250Cost for two,1000+ ratings,"North Indian, Biryani, Kerala","Panjagutta Road, Banjara Hills",
Bikanervala Restaurant,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowNorth Indian, Chinese, Desserts, South Indian","Road No 1, Banjara Hills",
Chutneys,4.21000+ ratings-- MINSDelivery Time₹ 500Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 500Cost for two,1000+ ratings,"North Indian, Chinese, South Indian","Road no 3, Banjara Hills",
Southern Mirchi,4.250+ ratings-- MINSDelivery Time₹ 600Cost for two,4.250+ ratings-- MINSDelivery Time₹ 600Cost for two,50+ ratings,"North Indian, Chinese, Andhra","Banjara Hills, Banjara Hills",
Aromas of China,3.820+ ratings-- MINSDelivery Time₹ 1000Cost for two,3.820+ ratings-- MINSDelivery Time₹ 1000Cost for two,20+ ratings,"Pan-Asian, Chinese","Road no 1, Banjara Hills",
Food Alley,4.0100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Continental, Indian, Oriental, Healthy Food, Pan-Asian, Home Food, North Indian, Chinese, Desserts, Salads","Road No.12, Banjara Hills",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO60% off up to ₹120 | Use code DEAL60
Biryani's By Liberty,3.620+ ratings-- MINSDelivery Time₹ 300Cost for two,3.620+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Indian, Oriental, North Indian, Biryani, Kebabs","Beside Century Super Speciality Hospital Banjara Hills, Banjara Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
Dusk Miller Confectionery,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowDesserts","Road no 1, Banjara Hills",
The Tea Planet,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowBeverages","Road No 2, Banjara Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
The Parkvue,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, Chinese, Continental","Venkat Nagar, Banjara Hills",
Dine O' China,4.050+ ratings-- MINSDelivery Time₹ 400Cost for two,4.050+ ratings-- MINSDelivery Time₹ 400Cost for two,50+ ratings,Chinese,"Venkat Nagar, Banjara Hills",
Sarvi Bakery,4.2100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Desserts, Fast Food, Bakery","Opposite Care Hospital, Road 11, Banjara Hills, Banjara Hills",
COCOA STOP,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages","Banjara Hills, Banjara Hills",
Little Idli,3.3100+ ratingsClosedFor Delivery₹ 150Cost for two,3.3100+ ratingsClosedFor Delivery₹ 150Cost for two,100+ ratings,"Opens next at 9:15 am, tomorrowSouth Indian","Road no.2, Banjara Hills",
Flaming Bowl,4.1100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Chinese, North Indian","Banjara Hills, Banjara Hills",Offer40% off up to ₹80 | Use code SWIGGYIT
Sarvi Restaurant,4.25000+ ratings-- MINSDelivery Time₹ 250Cost for two,4.25000+ ratings-- MINSDelivery Time₹ 250Cost for two,5000+ ratings,"Mughlai, Chinese, Hyderabadi, Biryani, North Indian","Road 11, Banjara Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
Grameen Kulfi,--Too Few Ratings-- MINSDelivery Time₹ 120Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 120Cost for two,Too Few Ratings,"Ice Cream, Desserts","Khairatabad, Banjara Hills",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
Ohri's Eatmor,4.1100+ ratings-- MINSDelivery Time₹ 450Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 450Cost for two,100+ ratings,"Indian, Continental, Fast Food, Haleem, Beverages, Desserts","Ohri's Eatmor, Banjara Hills",
Ohri's Far East,4.220+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.220+ ratings-- MINSDelivery Time₹ 1000Cost for two,20+ ratings,"Chinese, Desserts, Beverages","Ohri's Far East, Banjara Hills",
The Matter of Batter,4.420+ ratings-- MINSDelivery Time₹ 400Cost for two,4.420+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,Desserts,"Mithila Nagar, Banjara Hills",
KFC,3.8500+ ratings-- MINSDelivery Time₹ 450Cost for two,3.8500+ ratings-- MINSDelivery Time₹ 450Cost for two,500+ ratings,"American, Fast Food, Snacks","Punjagutta Metro Mall, Banjara Hills",
Udupi dosa house,--Too Few Ratings-- MINSDelivery Time₹ 100Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 100Cost for two,Too Few Ratings,South Indian,"Banjara Hills, Banjara Hills",Offer25% off on all orders
Kaati Zone Rolls and Wraps,3.9100+ ratingsClosedFor Delivery₹ 150Cost for two,3.9100+ ratingsClosedFor Delivery₹ 150Cost for two,100+ ratings,"Restaurant ClosedBeverages, Fast Food, Bengali, North Indian, Biryani, Indian, Snacks, Street Food","Banjara Hills, Banjara Hills",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
NSR South Kitchen Cafe&Restaurant,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowIndian, North Indian, Chinese","Banjara Hills, Banjara Hills",
MAMIDI CHIGURU,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,Restaurant ClosedIndian,"Banjara Hills, Banjara Hills",
Mahindra Tiffin Centre,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowSVANidhi Street Food Vendor, Indian","Banjara Hills, Banjara Hills",
Goli Soda,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowBeverages, Desserts","Kabara Drive Inn, Banjara Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
roti house,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowNorth Indian","Banjara Hills, Banjara Hills",
BAKEOLOGY BY ANILA,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowBakery","Banjara Hills, Banjara Hills",
Arabella House of Arabic & Lebanese Cuisine,3.420+ ratings-- MINSDelivery Time₹ 1000Cost for two,3.420+ ratings-- MINSDelivery Time₹ 1000Cost for two,20+ ratings,Indian,"Banjara Hills, Banjara Hills",Offer20% off up to ₹300 on orders above ₹600 | Use code PARTY
Suprabath tiffins,4.0100+ ratings-- MINSDelivery Time₹ 150Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,South Indian,"DWARAKAPURI COLONY, Banjara Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Al Azeez BBQ Chicken,3.850+ ratingsClosedFor Delivery₹ 500Cost for two,3.850+ ratingsClosedFor Delivery₹ 500Cost for two,50+ ratings,"Opens next at 2 pm, tomorrowArabian","Anwar Ul Uloom College, Banjara Hills",
La Pino'z Pizza,4.0500+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 300Cost for two,500+ ratings,Pizzas,"Road Number 12, Banjara Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Onesta,3.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,3.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Italian, Desserts, Pizzas","ANR Center, Banjara Hills, Banjara Hills",Offer30% off up to ₹300 on orders above ₹600 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Mandi @36,4.2100+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 1000Cost for two,100+ ratings,"Arabian, Continental, Haleem","Banjara Hills, Banjara Hills",
Bowlsome,4.0500+ ratings-- MINSDelivery Time₹ 250Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 250Cost for two,500+ ratings,"North Indian, South Indian","Banjara Hills, Banjara Hills",Offer30% off up to ₹75 | Use code SWIGGYIT
MomoGuy,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowTibetan, Fast Food, Chinese, Snacks, Oriental","Banjara Hills, Banjara Hills",Offer50% off up to ₹250 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Wakka Makka,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowChinese, Asian, Oriental, Fast Food, Tibetan, Desserts","Banjara Hills, Banjara Hills",Offer50% off up to ₹250 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Oh So Stoned!,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowIce Cream, Desserts","Road No 2, Banjara Hills",
Chandra Haveli Star Restaurant,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Indian, Chinese, Biryani","Banjara Hills, Banjara Hills",
Subway,--Too Few Ratings-- MINSDelivery Time₹ 350Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 350Cost for two,Too Few Ratings,"Fast Food, Salads, Snacks, Desserts, Beverages","Next Galleria Mall, Banjara Hills",
555 BIRYANI,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBiryani, Indian, Chinese","Banjara Hills, Banjara Hills",Offer10% off up to ₹40 | Use code SWIGGYIT
The China Street,4.0100+ ratings-- MINSDelivery Time₹ 450Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 450Cost for two,100+ ratings,"Chinese, Fast Food, Combo, Snacks, Beverages","Banjara Hills, Banjara Hills",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Sauced Up,4.2100+ ratingsClosedFor Delivery₹ 200Cost for two,4.2100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,"Opens next at 7 am, tomorrowAmerican, Fast Food","Masab Tank, Banjara Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
Dunkin Donuts,4.11000+ ratings-- MINSDelivery Time₹ 250Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 250Cost for two,1000+ ratings,"Desserts, Bakery, Beverages, Fast Food, Snacks, Cafe","Road No.1, Banjara Hills",Offer40% off up to ₹80 | Use code SWIGGYIT
BIRYANI HOUSE,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowFast Food","Banjara Hills, Banjara Hills",
BAKE HOUSE HYDERABADI,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages, Biryani, Chinese, Indian, Snacks","Banjara Hills, Banjara Hills",Offer10% off up to ₹40 | Use code SWIGGYIT
Bangkok169,3.9100+ ratingsClosedFor Delivery₹ 200Cost for two,3.9100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,"Opens next at 11:30 am, tomorrowAsian, Chinese, Combo","Banjara Hills, Banjara Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Keshav Reddy Sweets,4.3500+ ratings-- MINSDelivery Time₹ 150Cost for two,4.3500+ ratings-- MINSDelivery Time₹ 150Cost for two,500+ ratings,"Sweets, Bakery, Desserts, Fast Food, Street Food, Chaat","Road No 2, Banjara Hills",
Urvasi Hotel,4.220+ ratings-- MINSDelivery Time₹ 450Cost for two,4.220+ ratings-- MINSDelivery Time₹ 450Cost for two,20+ ratings,"North Indian, Andhra, Chinese","Punjagutta Cross Road, Banjara Hills",
Angaara 5,4.1500+ ratings-- MINSDelivery Time₹ 400Cost for two,4.1500+ ratings-- MINSDelivery Time₹ 400Cost for two,500+ ratings,"Indian, Chinese, Tandoor","Road no 12, Banjara Hills",
Ching Chong,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowChinese, Asian, Oriental, Fast Food, Tibetan, Desserts","Banjara Hills, Banjara Hills",Offer50% off up to ₹250 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Sanjos Donuts,4.2100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Beverages, Desserts","Banjara Hills, Banjara Hills",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO
Starboy Pizza & Shakes,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowPizzas, American, Fast Food, Desserts, Beverages","Banjara Hills, Banjara Hills",Offer50% off up to ₹250 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
All Seasons,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 12:30 pm, tomorrowMughlai, North Indian, Chinese, Arabian, Lebanese","Road No 3, Banjara Hills",
